word,size,WordPair,PU.AROU,PU.CNC,PU.FAM,PU.GEND,PU.IMAG,PU.SIZE,PU.VAL,GN.AROU,GN.CNC,GN.FAM,GN.GEND,GN.IMAG,GN.SIZE,GN.VAL
COMET,Large,19,3.490566038,4.58490566,3.962264151,3.169811321,4.79245283,6.056603774,4.735849057,6.4571,6.0294,4.625,4.2941,6.1212,5.8788,6.2353
COW,Large,4,2.528301887,6.037735849,6.037735849,3.037735849,6.320754717,5.245283019,4.849056604,3.1471,6.8485,6.3333,3.4118,6.8788,4.1818,5.1765
CUP,Small,1,2.375,5.678571429,6.214285714,2.982142857,6.410714286,2.821428571,4.75,3.8857,6.5,6.4667,3.5588,6.75,2.1471,5.1935
DIAMOND,Small,26,4.622641509,5.754716981,5.867924528,1.58490566,6.169811321,2.811320755,5.924528302,6.0313,6.8,5.16,1.7813,6.6667,3.3871,7.3333
DINOSAUR,Large,38,3.072727273,4.236363636,4.854545455,4.381818182,5.272727273,6.418181818,4.563636364,5.9394,6.3529,5.3793,6,6.8065,6.4286,5.4
DOWNTOWN,Large,39,3.770833333,4.291666667,5.791666667,3.083333333,5.333333333,6.020833333,4.916666667,NA,NA,NA,NA,NA,NA,NA
ELEPHANT,Large,36,2.901960784,6.392156863,5.803921569,3.470588235,6.470588235,6.431372549,5.235294118,4.7969,6.8833,5.7963,4.5763,6.8596,5.6719,5.9839
EMERALD,Small,33,4.105263158,5.350877193,5.228070175,1.894736842,5.666666667,2.526315789,5.789473684,5.7586,5.7308,4.5,2.84,6.1333,2.8621,6.3548
FINGERNAIL,Small,43,2.528301887,6.226415094,6.396226415,2.226415094,6.433962264,1.849056604,3.679245283,NA,NA,NA,NA,NA,NA,NA
FLY,Small,2,2.844827586,4.879310345,5.551724138,3.310344828,5.75862069,2.551724138,3.327586207,5.4063,5.3929,5.9091,4.1852,5.7667,3.4333,5.3333
GALAXY,Large,23,4.109090909,2.727272727,4.6,2.872727273,3.781818182,6.727272727,5.090909091,6.2813,5.0645,5.3214,3.8438,5.3,6.871,6.7742
GIRAFFE,Large,33,2.910714286,5.607142857,5.803571429,3,6.142857143,6.089285714,5.267857143,4.8286,6.9091,5.0667,3.6571,6.9143,5.5,5.7576
GLASS,Small,11,3.388888889,5.444444444,5.962962963,2.611111111,5.925925926,3.759259259,4.055555556,4.7742,6.3929,6.3,3.7778,6.2593,3.0938,5.2813
GLOVE,Small,18,2.883333333,5.883333333,6.233333333,3.016666667,6.316666667,2.85,4.633333333,4.0645,6.4545,6.1667,3.1818,6.6667,2.6667,5.3333
GORILLA,Large,32,3,5.981818182,5.145454545,4.345454545,6.181818182,5.672727273,3.927272727,4.4,6.9063,4.8846,5.625,6.8571,4.8387,5.5313
HANDKERCHIEF,Small,44,2.428571429,5.767857143,5.553571429,3.232142857,6.035714286,2.642857143,4.375,3.0968,6.7,4.75,4,6.6774,2.0606,5.0938
HIPPOPOTAMUS,Large,45,2.777777778,6,5.37037037,3.018518519,6.074074074,6.111111111,4.12962963,4.8824,6.8824,5.0588,4.4118,6.7931,5.6286,5.6765
HORSE,Large,13,3.145833333,6.125,5.770833333,2.395833333,6.520833333,5.479166667,5.354166667,4.871,6.8571,5.5926,3.8519,6.88,4.875,6.0645
HUMMINGBIRD,Small,45,3.537037037,5.592592593,5.888888889,2.055555556,6.259259259,2.018518519,5.722222222,4.5938,6.5938,4.0667,2.8235,6.6364,2.1515,6.4848
INSECT,Small,23,2.518518519,5.37037037,5.777777778,3.425925926,5.925925926,1.703703704,2.685185185,3.7273,6.6452,5.8462,4.5152,6.2941,1.8788,4.0909
JET,Large,3,3.433962264,5.962264151,5.358490566,3.905660377,5.943396226,6,5.075471698,5.6364,6.2813,5.3226,5.0938,6.2813,5.3824,5.625
JUNGLE,Large,22,2.903846154,4.942307692,4.461538462,3.519230769,6.019230769,6.596153846,4.807692308,5.9375,6.4688,5.2667,4.8788,6.3667,6.3125,5.5806
LAKE,Large,8,3.789473684,5.438596491,6.280701754,3.350877193,6.403508772,5.912280702,5.824561404,4.2903,6.5357,5.5417,3.4286,6.7143,5.4375,6.375
LEAF,Small,10,2.553571429,5.482142857,6.428571429,2.678571429,6.553571429,2.178571429,5.375,3.6563,6.3871,6.1034,3.3529,6.2727,2.0323,5.7813
LIP,Small,3,5.051724138,5.517241379,5.862068966,1.844827586,6.137931034,2.775862069,5.120689655,5.2903,6.4,6.2857,2.8438,6.7857,2.1875,5.625
MAGAZINE,Small,34,3.344827586,5.396551724,5.879310345,2.034482759,6.327586207,3.25862069,4.086206897,5.0303,6.7333,5.84,2.8667,6.3846,2.3636,5.3333
MANSION,Large,28,4.418181818,5.418181818,5.236363636,3.109090909,6.127272727,6.345454545,5.454545455,5.9677,6.5926,4.9583,4.3704,6.3793,5.4333,6.6452
